bicolline_id,local_title,local_category,pg_id,pg_nameFr,pg_nameEn,pg_section,pg_category,match_method
1,Armement,6,cmoeauiyt000hmn0qs5h4773c,Armement,Weaponry,Lots de production — Base,économique,v4_final
2,Milice,7,cmoeauiyt001gmn0qnsx3keur,Milice,Militia,Unités — Humains,militaire,v4_final
3,Manthora,3,cmoeauiyt002bmn0qafw0dvhx,Manthora,Manthora,Énergies magiques,magique,v4_final
9,Influence Andore,2,cmoeauiyu0041mn0qs0sdj8za,Influence d'Andore,Andore Influence,Influence & politique,politique,v4_final
10,Influence Fédération argannaise,2,cmoeauiyu003vmn0qtz4psm2d,Influence d'Arganne,Arganne Influence,Influence & politique,politique,v4_final
11,Influence Autre région,2,cmoeauiyu002omn0qb6klc14a,Influence régionale,Regional Influence,Influence & politique,politique,v4_final
12,Influence Berkwald,2,cmoeauiyu0042mn0q16b4w444,Influence de Berkwald,Berkwald Influence,Influence & politique,politique,v4_final
13,Influence Cité des sables,2,cmoeauiyu003xmn0q6nq9zob5,Influence de la Cité des sables,Sand City Influence,Influence & politique,politique,v4_final
14,Influence Carcosa,2,cmoeauiyu003wmn0q3or3hd50,Influence Carcosa,Carcosa Influence,Influence & politique,politique,v4_final
15,Influence Pays de Kafe,2,cmoeauiyu0044mn0qc3vl3aid,Influence de Kafe,Kafe Influence,Influence & politique,politique,v4_final
16,Influence Empire,2,cmoeauiyu0043mn0qr7i4s0i2,Influence de l'Empire,Empire Influence,Influence & politique,politique,v4_final
17,Influence Irendille,2,cmoeauiyu0045mn0qaietm0x9,Influence d'Irendille,Irendille Influence,Influence & politique,politique,v4_final
18,Influence Nasgaroth,2,cmoeauiyu003ymn0qh7bnunw0,Influence de Nasgaroth,Nasgaroth Influence,Influence & politique,politique,v4_final
19,Influence Ozame,2,cmoeauiyu003zmn0qg6629jsc,Influence d'Ozame,Ozame Influence,Influence & politique,politique,v4_final
20,Influence Terres du Sud,2,cmoeauiyu0040mn0q1aj3co9n,Influence des Terres du Sud,Southern Lands Influence,Influence & politique,politique,v4_final
21,Crâne,3,cmoeauiyt002hmn0qx42ecych,Crâne,Skull Energy,Énergies occultes & spéciales,occulte,v4_final
22,Énergie pure,3,cmoeauiyu002lmn0qloqz3rj9,Énergie pure,Pure Energy,Énergies occultes & spéciales,magique,v4_final
24,Golhir,3,cmoeauiyt002dmn0q4aya1xt8,Golhir,Golhir,Énergies magiques,magique,v4_final
25,Ingrédient,3,cmoeauiyt002jmn0q2j2chhhl,Ingrédient,Ingredient,Énergies occultes & spéciales,occulte,v4_final
27,Miguisse,3,cmoeauiyt002emn0qjv4i9mxk,Miguisse,Miguisse,Énergies magiques,magique,v4_final
28,Points de pouvoir,3,cmoeauiyu002mmn0qln8b78p1,Point de pouvoir,Power Point,Énergies occultes & spéciales,croyance,v4_final
29,Souffle de vie,3,cmoeauiyt002fmn0q5bp1p6l5,Souffle de vie,Spirit Energy,Énergies magiques,magique,v4_final
30,Svir-Kala,3,cmoeauiyt002cmn0q95lqatjm,Svir-Kala,Svir-Kala,Énergies magiques,magique,v4_final
31,Esclave,4,cmoeauiyt000umn0qqif8c4dh,Esclave,Slave,Main-d'œuvre,économique,v4_final
32,Forestier,4,cmoeauiyt000xmn0qn6ax8gtu,Forestier,Woodsman,Main-d'œuvre,économique,v4_final
33,Voelhoorn,4,cmoeauiyt000zmn0qkndhk40w,Voelhoorn,,Main-d'œuvre,maritime,v4_final
34,Marin,4,cmoeauiyt000vmn0q2661310n,Marin,Sailor,Main-d'œuvre,maritime,v4_final
35,Nomade,4,cmoeauiyt000wmn0qm4qv91rn,Nomade,Nomad,Main-d'œuvre,économique,v4_final
36,Paysan,4,cmoeauiyt000tmn0qbpe611qf,Paysan,Peasant,Main-d'œuvre,économique,v4_final
37,Mentor d'aventurier,5,cmoeauiyt001emn0qldrrsalx,Mentor aventurier,Adventurer Mentor,Mentors,exploration,v4_final
38,Mentor militaire,5,cmoeauiyt001dmn0qv6rtah1d,Mentor militaire,Military Mentor,Mentors,militaire,v4_final
39,Mentor maritime,5,cmoeauiyt001fmn0q8m4tb9ug,Mentor maritime,Maritime Mentor,Mentors,maritime,v4_final
42,Bateau de pêche,5,cmoeauiyt0011mn0qjuejthg9,Bateau de pêche,Fishing Boat,Main-d'œuvre,maritime,v4_final
43,Charpentier,5,cmoeauiyt0012mn0qw4b04huq,Charpentier,Carpenter,Maîtres,construction,v4_final
