pg_id,pg_nameFr,pg_nameEn,pg_section,pg_category,pg_sortOrder
cmoeauiys0004mn0qmljclqq7,Activité,Activity,Fiches de population,,0
cmoeauiys0005mn0qelt7lfx4,Grande Bataille,Great Battle (GB),Fiches de population,,1
cmoeauiys0006mn0qvyl3jljc,Campagne,Campaign,Fiches de population,,2
cmoeauiys0007mn0qjrd1w91r,Tournoi des Nations,Tournament of Nations,Fiches de population,,3
cmoeauiys0008mn0q4gjpmdcr,Événement spécial (verte),Special Event (Green),Fiches de population,,4
cmoeauiys0009mn0qbdvfpm4z,Ducasse,Ducasse,Fiches de population,,5
cmoeauiys000amn0qdct0iy8z,Thématique,Themed Activity,Fiches de population,,6
cmoeauiys000bmn0qat5qgnez,Bal Pourpre,Bal Pourpre,Fiches de population,,7
cmoeauiyt000smn0qnqwfyupe,Lettre de change,Bill of Exchange,Richesses,économique,24
cmoeauiys0000mn0qsgoqjslu,Farfouilleur,Scrounger,Main-d'œuvre,économique,33
cmoeauiys0001mn0qokjgq3st,Homme-bleu,Blue Man,Main-d'œuvre,économique,34
cmoeauiyt001xmn0qdl8gzld7,Janissaire,Janissary,Unités — Esclaves,militaire,68
cmoeauiyt001ymn0q6lxb3scd,Mamelouk,Mameluke,Unités — Esclaves,militaire,69
cmoeauiyt002gmn0qt3w9bmns,Esprit de la forêt,Forest Energy,Énergies magiques,magique,87
cmoeauiyt002imn0qfhw1z2pk,Mystérium,Mysterium,Énergies occultes & spéciales,magique,89
cmoeauiyu002pmn0qbzsnm2mw,Faveur divine,Divine Favor,Influence & politique,croyance,96
cmoeauiyu002qmn0qbm2yx5z5,Faveur magique,Magical Favor,Influence & politique,magique,97
cmoeauiyu002rmn0qwvprggb8,Faveur occulte,Occult Favor,Influence & politique,occulte,98
cmoeauiyu0032mn0q45is4w0h,Parchemin de guérison,Healing Scroll,Potions & babioles,magique,109
cmoeauiyu003cmn0qoyu1wkrb,Caravelle,Caravel,Navires,maritime,120
cmoeauiyu003dmn0qgs1qboxq,Galion,Galleon,Navires,maritime,121
cmoeauiyu003emn0qrg37fyvd,Frégate,Frigate,Navires,maritime,122
cmoeauiyu003fmn0qqdcdryh8,Actions du CCEH,CCEH Shares,Actifs financiers,économique,123
